,Aspect,Document,Sentiment,Dataset
179,LAPTOP#GENERAL,I have loved this since i took it out of the box.,positive,ABSA16_Laptops_Train_SB1_v2.csv
185,LAPTOP#GENERAL,I like it!,positive,ABSA16_Laptops_Train_SB1_v2.csv
186,LAPTOP#GENERAL,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,positive,ABSA16_Laptops_Train_SB1_v2.csv
187,LAPTOP#GENERAL,"Needless to say, not to happy with the product.",negative,ABSA16_Laptops_Train_SB1_v2.csv
188,LAPTOP#GENERAL,This is a great machine!,positive,ABSA16_Laptops_Train_SB1_v2.csv
191,LAPTOP#GENERAL,It is by far one of the greatest investments I have ever made.,positive,ABSA16_Laptops_Train_SB1_v2.csv
193,LAPTOP#GENERAL,"Am very glad I bought it, great netbook, low price.",positive,ABSA16_Laptops_Train_SB1_v2.csv
201,LAPTOP#GENERAL,"Overall, it's ok.",neutral,ABSA16_Laptops_Train_SB1_v2.csv
209,LAPTOP#GENERAL,"I just got this laptop for college, and so far I am very happy with it.",positive,ABSA16_Laptops_Train_SB1_v2.csv
214,LAPTOP#GENERAL,I love this little one.,positive,ABSA16_Laptops_Train_SB1_v2.csv
222,LAPTOP#GENERAL,"Great Laptop for the price, works well with action pack games.",positive,ABSA16_Laptops_Train_SB1_v2.csv
224,LAPTOP#GENERAL,but other then that I would give this product a 4 in hafe stars.,positive,ABSA16_Laptops_Train_SB1_v2.csv
229,LAPTOP#GENERAL,Very happy.,positive,ABSA16_Laptops_Train_SB1_v2.csv
232,LAPTOP#GENERAL,He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.,positive,ABSA16_Laptops_Train_SB1_v2.csv
237,LAPTOP#GENERAL,"HELP, HELP, OTHER THAN THAT GETS A GREAT LITTLE WONDER.",positive,ABSA16_Laptops_Train_SB1_v2.csv
244,LAPTOP#GENERAL,Love it.,positive,ABSA16_Laptops_Train_SB1_v2.csv
245,LAPTOP#GENERAL,"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.",positive,ABSA16_Laptops_Train_SB1_v2.csv
249,LAPTOP#GENERAL,I am not happy at all with the product I purchased.,negative,ABSA16_Laptops_Train_SB1_v2.csv
251,LAPTOP#GENERAL,It was over rated!,negative,ABSA16_Laptops_Train_SB1_v2.csv
252,LAPTOP#GENERAL,The Toshiba laptop was a great purchase.,positive,ABSA16_Laptops_Train_SB1_v2.csv
259,LAPTOP#GENERAL,I am enjoying it and the quality it provides is great!,positive,ABSA16_Laptops_Train_SB1_v2.csv
263,LAPTOP#GENERAL,I've already recommended this laptop to a friend who eye'd the computer when I took it out of my bag.,positive,ABSA16_Laptops_Train_SB1_v2.csv
264,LAPTOP#GENERAL,I like the laptop overall.,positive,ABSA16_Laptops_Train_SB1_v2.csv
267,LAPTOP#GENERAL,This is a great little computer for the price.,positive,ABSA16_Laptops_Train_SB1_v2.csv
270,LAPTOP#GENERAL,I'm very impressed.,positive,ABSA16_Laptops_Train_SB1_v2.csv
272,LAPTOP#GENERAL,It is everything that I would want in a computer.,positive,ABSA16_Laptops_Train_SB1_v2.csv
276,LAPTOP#GENERAL,"I enjoy very much my new Toshiba, purchased specifially for attending online schooling.",positive,ABSA16_Laptops_Train_SB1_v2.csv
280,LAPTOP#GENERAL,I am very pleased with my purchase!,positive,ABSA16_Laptops_Train_SB1_v2.csv
281,LAPTOP#GENERAL,This laptop serves all my needs.,positive,ABSA16_Laptops_Train_SB1_v2.csv
286,LAPTOP#GENERAL,Great product.,positive,ABSA16_Laptops_Train_SB1_v2.csv
295,LAPTOP#GENERAL,It's a great product for a great price!,positive,ABSA16_Laptops_Train_SB1_v2.csv
302,LAPTOP#GENERAL,Just what the doctor ordered.,positive,ABSA16_Laptops_Train_SB1_v2.csv
309,LAPTOP#GENERAL,Summary: Spend your money elsewhere,negative,ABSA16_Laptops_Train_SB1_v2.csv
311,LAPTOP#GENERAL,Love it so far.,positive,ABSA16_Laptops_Train_SB1_v2.csv
314,LAPTOP#GENERAL,"I bought this netbook for traveling, and it's great - light, functional, and meets my needs.",positive,ABSA16_Laptops_Train_SB1_v2.csv
316,LAPTOP#GENERAL,"Otherwise, I love it!",positive,ABSA16_Laptops_Train_SB1_v2.csv
319,LAPTOP#GENERAL,It Was a great deal after all.,positive,ABSA16_Laptops_Train_SB1_v2.csv
320,LAPTOP#GENERAL,I LOVE it!,positive,ABSA16_Laptops_Train_SB1_v2.csv
321,LAPTOP#GENERAL,I should have bought one a long time ago.,positive,ABSA16_Laptops_Train_SB1_v2.csv
322,LAPTOP#GENERAL,Not enough time for me to give it 5 stars!,neutral,ABSA16_Laptops_Train_SB1_v2.csv
323,LAPTOP#GENERAL,"I've had the MacBook Pro 15 for about three weeks, and it really is a great computer.",positive,ABSA16_Laptops_Train_SB1_v2.csv
333,LAPTOP#GENERAL,"Nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours, or at the hotel taking care of some last minute details and documents.",positive,ABSA16_Laptops_Train_SB1_v2.csv
338,LAPTOP#GENERAL,"Bottom line, I doubt you'd be overly disappointed if you invest in this machine.",positive,ABSA16_Laptops_Train_SB1_v2.csv
349,LAPTOP#GENERAL,"I love my Apple, it is quick and easy to use.",positive,ABSA16_Laptops_Train_SB1_v2.csv
351,LAPTOP#GENERAL,I can't say enough of how satisfied I am with their product and help aftermarket.,positive,ABSA16_Laptops_Train_SB1_v2.csv
352,LAPTOP#GENERAL,Money and time well spent!,positive,ABSA16_Laptops_Train_SB1_v2.csv
353,LAPTOP#GENERAL,Highly recommended!,positive,ABSA16_Laptops_Train_SB1_v2.csv
362,LAPTOP#GENERAL,So glad I decided to upgrade!,positive,ABSA16_Laptops_Train_SB1_v2.csv
367,LAPTOP#GENERAL,"Will not buy another Toshiba, this is my second, not happy w/ either.",negative,ABSA16_Laptops_Train_SB1_v2.csv
372,LAPTOP#GENERAL,"The Toshiba Mini Notebook, Model NB 305-N410BL, is a great little computer.",positive,ABSA16_Laptops_Train_SB1_v2.csv
383,LAPTOP#GENERAL,Was this product worth my time and money to ever want to purchase another products that is toshiba or relating to toshiba?,negative,ABSA16_Laptops_Train_SB1_v2.csv
387,LAPTOP#GENERAL,All I can say is W-O-W.,positive,ABSA16_Laptops_Train_SB1_v2.csv
388,LAPTOP#GENERAL,This laptop is insane!!!,positive,ABSA16_Laptops_Train_SB1_v2.csv
391,LAPTOP#GENERAL,This is definitely a computer worth the money;,positive,ABSA16_Laptops_Train_SB1_v2.csv
394,LAPTOP#GENERAL,"Overall, this laptop is definitely a keeper with its simple yet stylish design and its array of fantastic colors to choose from.",positive,ABSA16_Laptops_Train_SB1_v2.csv
396,LAPTOP#GENERAL,"Obviously, this Macbook is P-E-R-F-E-C-T for me because it does exactly what I need in an easy-to-function way.",positive,ABSA16_Laptops_Train_SB1_v2.csv
397,LAPTOP#GENERAL,DEFINITELY recommended!!!,positive,ABSA16_Laptops_Train_SB1_v2.csv
398,LAPTOP#GENERAL,"Not a bad laptop, it's a bit slow, but gets the job done.",positive,ABSA16_Laptops_Train_SB1_v2.csv
421,LAPTOP#GENERAL,But the Macbook is the best!,positive,ABSA16_Laptops_Train_SB1_v2.csv
433,LAPTOP#GENERAL,This laptop does everything I need it to very well.,positive,ABSA16_Laptops_Train_SB1_v2.csv
448,LAPTOP#GENERAL,Overall I am very satisfied with the purchase.,positive,ABSA16_Laptops_Train_SB1_v2.csv
450,LAPTOP#GENERAL,"Great, quick laptop for the money.",positive,ABSA16_Laptops_Train_SB1_v2.csv
455,LAPTOP#GENERAL,I love everything about it.,positive,ABSA16_Laptops_Train_SB1_v2.csv
459,LAPTOP#GENERAL,This mac is great!,positive,ABSA16_Laptops_Train_SB1_v2.csv
461,LAPTOP#GENERAL,THIS HAS BEEN NOTHING BUT A HEADACHE SINCE WE PURCHASED IT.,negative,ABSA16_Laptops_Train_SB1_v2.csv
464,LAPTOP#GENERAL,Just don't waste your time and money on this.,negative,ABSA16_Laptops_Train_SB1_v2.csv
465,LAPTOP#GENERAL,"I tried giving it 0 stars but I had to choose at least one, but IMO NO STARS",negative,ABSA16_Laptops_Train_SB1_v2.csv
479,LAPTOP#GENERAL,Then 2 of my nephews were going into music and both fell in love with the MacBook Pro.,positive,ABSA16_Laptops_Train_SB1_v2.csv
480,LAPTOP#GENERAL,Now they are believers in the product.,positive,ABSA16_Laptops_Train_SB1_v2.csv
483,LAPTOP#GENERAL,This little netboook is helping me get work done!,positive,ABSA16_Laptops_Train_SB1_v2.csv
493,LAPTOP#GENERAL,"Probably as good as you can get in a netbook, does everything I ask for and has some very good unexpected pluses.",positive,ABSA16_Laptops_Train_SB1_v2.csv
495,LAPTOP#GENERAL,"So far, so good!",positive,ABSA16_Laptops_Train_SB1_v2.csv
499,LAPTOP#GENERAL,This device serves all modern requirements is a very strong game and is very useful for designers.,positive,ABSA16_Laptops_Train_SB1_v2.csv
503,LAPTOP#GENERAL,For the use it was purchased for it is a good Laptop.,positive,ABSA16_Laptops_Train_SB1_v2.csv
505,LAPTOP#GENERAL,"I love this product because it is Toshiba and its 15.6"".",positive,ABSA16_Laptops_Train_SB1_v2.csv
509,LAPTOP#GENERAL,"But, I would recommend this product.",positive,ABSA16_Laptops_Train_SB1_v2.csv
510,LAPTOP#GENERAL,Satisfy what I paid for it.,positive,ABSA16_Laptops_Train_SB1_v2.csv
518,LAPTOP#GENERAL,I would highly recommend this one to my friends,positive,ABSA16_Laptops_Train_SB1_v2.csv
526,LAPTOP#GENERAL,All in all great item highly recommend it.,positive,ABSA16_Laptops_Train_SB1_v2.csv
528,LAPTOP#GENERAL,i would have to say that overall its great!,positive,ABSA16_Laptops_Train_SB1_v2.csv
533,LAPTOP#GENERAL,2nd Best computer in the world  only one way this computer might become the best is that it needs to upgreade patches  to make less easier for people to hack into,positive,ABSA16_Laptops_Train_SB1_v2.csv
538,LAPTOP#GENERAL,Overall for the money this is a good deal.,positive,ABSA16_Laptops_Train_SB1_v2.csv
542,LAPTOP#GENERAL,"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.",positive,ABSA16_Laptops_Train_SB1_v2.csv
545,LAPTOP#GENERAL,I would easly reccomend this laptop to a friend.,positive,ABSA16_Laptops_Train_SB1_v2.csv
549,LAPTOP#GENERAL,returned it to walmart.,negative,ABSA16_Laptops_Train_SB1_v2.csv
555,LAPTOP#GENERAL,Its a good laptop for its value.,positive,ABSA16_Laptops_Train_SB1_v2.csv
576,LAPTOP#GENERAL,Awesome laptop and the perfect size to carry around in college.,positive,ABSA16_Laptops_Train_SB1_v2.csv
579,LAPTOP#GENERAL,Simply amazing computer!!,positive,ABSA16_Laptops_Train_SB1_v2.csv
580,LAPTOP#GENERAL,"I really like the Mac 15.4in. Notebook, but its very pricey.",positive,ABSA16_Laptops_Train_SB1_v2.csv
584,LAPTOP#GENERAL,"Waiting for the i7 was well worth it, great value for the price.",positive,ABSA16_Laptops_Train_SB1_v2.csv
586,LAPTOP#GENERAL,There is nothing to complain about the system.,positive,ABSA16_Laptops_Train_SB1_v2.csv
588,LAPTOP#GENERAL,If you have the money I suggest going for the i7.,positive,ABSA16_Laptops_Train_SB1_v2.csv
593,LAPTOP#GENERAL,I consider myself an average user and this computer serves my need.,positive,ABSA16_Laptops_Train_SB1_v2.csv
596,LAPTOP#GENERAL,I normally dont participate in reviews/surveys but this laptop has not given me any problems and hope to share my thoughts...,positive,ABSA16_Laptops_Train_SB1_v2.csv
597,LAPTOP#GENERAL,another satisfied customer.,positive,ABSA16_Laptops_Train_SB1_v2.csv
598,LAPTOP#GENERAL,The apple MacBook is the best investment that I have ever made.,positive,ABSA16_Laptops_Train_SB1_v2.csv
600,LAPTOP#GENERAL,The newer MacBook that I have purchased is one of the best computers.,positive,ABSA16_Laptops_Train_SB1_v2.csv
613,LAPTOP#GENERAL,"Overall, this is a wonderful computer and definitly worth the purchase!",positive,ABSA16_Laptops_Train_SB1_v2.csv
616,LAPTOP#GENERAL,I would definitely suggest this laptop!,positive,ABSA16_Laptops_Train_SB1_v2.csv
627,LAPTOP#GENERAL,This computer was awful!,negative,ABSA16_Laptops_Train_SB1_v2.csv
634,LAPTOP#GENERAL,"This computer was awful, I would never recomend it to another person.",negative,ABSA16_Laptops_Train_SB1_v2.csv
635,LAPTOP#GENERAL,Those moments in thime where you want to throw something against the wall?,negative,ABSA16_Laptops_Train_SB1_v2.csv
636,LAPTOP#GENERAL,"Yeah, I wanted to throw that lap top out the window and light it on fire.",negative,ABSA16_Laptops_Train_SB1_v2.csv
637,LAPTOP#GENERAL,That's how frustrating it was.,negative,ABSA16_Laptops_Train_SB1_v2.csv
639,LAPTOP#GENERAL,"It is well worth the money it cost, Very good investment.",positive,ABSA16_Laptops_Train_SB1_v2.csv
640,LAPTOP#GENERAL,The new Macbook Pro 15 inch i7 is nothing short of amazing.,positive,ABSA16_Laptops_Train_SB1_v2.csv
646,LAPTOP#GENERAL,WILL NOT EVERY BUY ANOTHER--------LOU,negative,ABSA16_Laptops_Train_SB1_v2.csv
647,LAPTOP#GENERAL,This is a great value for the money.,positive,ABSA16_Laptops_Train_SB1_v2.csv
649,LAPTOP#GENERAL,This is a great computer.,positive,ABSA16_Laptops_Train_SB1_v2.csv
650,LAPTOP#GENERAL,We haven't had any problems with it at all.,positive,ABSA16_Laptops_Train_SB1_v2.csv
652,LAPTOP#GENERAL,"Overall though, for the money spent it's a great deal.",positive,ABSA16_Laptops_Train_SB1_v2.csv
654,LAPTOP#GENERAL,"But let me tell you, the mac book pro is so professional.",positive,ABSA16_Laptops_Train_SB1_v2.csv
655,LAPTOP#GENERAL,Its very nice and once you learn the features you will be so happy to have such a sophisticated computer.,positive,ABSA16_Laptops_Train_SB1_v2.csv
659,LAPTOP#GENERAL,"Oh, it is such a great piece of equipment.",positive,ABSA16_Laptops_Train_SB1_v2.csv
675,LAPTOP#GENERAL,LOVE IT LOVE IT LOVE IT!,positive,ABSA16_Laptops_Train_SB1_v2.csv
680,LAPTOP#GENERAL,"I upgraded it's RAM to 2GB, I am very happy with it.",positive,ABSA16_Laptops_Train_SB1_v2.csv
684,LAPTOP#GENERAL,this is starting off good.,positive,ABSA16_Laptops_Train_SB1_v2.csv
685,LAPTOP#GENERAL,What a great little laptop.,positive,ABSA16_Laptops_Train_SB1_v2.csv
689,LAPTOP#GENERAL,I made a perfect decision when I bought the Toshiba!,positive,ABSA16_Laptops_Train_SB1_v2.csv
690,LAPTOP#GENERAL,Excellent product for the money.,positive,ABSA16_Laptops_Train_SB1_v2.csv
697,LAPTOP#GENERAL,The Computer itself is a good product but the repair depot stinks.,positive,ABSA16_Laptops_Train_SB1_v2.csv
711,LAPTOP#GENERAL,"Never had a single problem, and don't have to worry about viruses.",positive,ABSA16_Laptops_Train_SB1_v2.csv
713,LAPTOP#GENERAL,Worth the investment and truly a fine piece of equipment.,positive,ABSA16_Laptops_Train_SB1_v2.csv
714,LAPTOP#GENERAL,"Right out of the box, this little netbook did everything I asked of it, including streaming the everyday video you're bound to encounter checking mail and websites (my biggest complaint previously).",positive,ABSA16_Laptops_Train_SB1_v2.csv
716,LAPTOP#GENERAL,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,positive,ABSA16_Laptops_Train_SB1_v2.csv
722,LAPTOP#GENERAL,"ASUS has done an outstanding job of evolving their netbooks, and I would recommend this to anyone who both understands their needs and how netbooks can fit them.",positive,ABSA16_Laptops_Train_SB1_v2.csv
728,LAPTOP#GENERAL,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,positive,ABSA16_Laptops_Train_SB1_v2.csv
739,LAPTOP#GENERAL,I would not recommend the purchase of this modle of Toshiba Computer or any Toshiba product for that matter.,negative,ABSA16_Laptops_Train_SB1_v2.csv
755,LAPTOP#GENERAL,It has served my needs quite nicely for the most part.,positive,ABSA16_Laptops_Train_SB1_v2.csv
761,LAPTOP#GENERAL,Let me start with the good:So awesome.,positive,ABSA16_Laptops_Train_SB1_v2.csv
766,LAPTOP#GENERAL,This one has had the same effect.,positive,ABSA16_Laptops_Train_SB1_v2.csv
787,LAPTOP#GENERAL,"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",positive,ABSA16_Laptops_Train_SB1_v2.csv
789,LAPTOP#GENERAL,Great product by Apple with the new great looking design.,positive,ABSA16_Laptops_Train_SB1_v2.csv
793,LAPTOP#GENERAL,"So, buyers beware!",negative,ABSA16_Laptops_Train_SB1_v2.csv
800,LAPTOP#GENERAL,I tell everyone I see out looking to get this or another Toshiba.,positive,ABSA16_Laptops_Train_SB1_v2.csv
803,LAPTOP#GENERAL,"I just love this lap top, I just wish it were all silver or they had all black.",positive,ABSA16_Laptops_Train_SB1_v2.csv
805,LAPTOP#GENERAL,LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET!,positive,ABSA16_Laptops_Train_SB1_v2.csv
806,LAPTOP#GENERAL,WOULD PAY MORE FOR IT IF I HAD TOO!,positive,ABSA16_Laptops_Train_SB1_v2.csv
810,LAPTOP#GENERAL,I recently purchased the mini and absolutely love it!,positive,ABSA16_Laptops_Train_SB1_v2.csv
812,LAPTOP#GENERAL,I am totally satisfied with my little toshie!,positive,ABSA16_Laptops_Train_SB1_v2.csv
813,LAPTOP#GENERAL,From the moment I opened the box to the present it has been a great joy.,positive,ABSA16_Laptops_Train_SB1_v2.csv
837,LAPTOP#GENERAL,"Overall, still a very nice machine.",positive,ABSA16_Laptops_Train_SB1_v2.csv
839,LAPTOP#GENERAL,I'm pleased.,positive,ABSA16_Laptops_Train_SB1_v2.csv
840,LAPTOP#GENERAL,The acer one compuer is a great computer.,positive,ABSA16_Laptops_Train_SB1_v2.csv
841,LAPTOP#GENERAL,I didn't want to buy a generic brand computer but it is really nice.,positive,ABSA16_Laptops_Train_SB1_v2.csv
844,LAPTOP#GENERAL,"If I had to buy another computer, I would most definetly buy an acer one computer.",positive,ABSA16_Laptops_Train_SB1_v2.csv
845,LAPTOP#GENERAL,"Heck, if I had enough ' money, I would but it as a gift for someone.",positive,ABSA16_Laptops_Train_SB1_v2.csv
852,LAPTOP#GENERAL,Im very happy with this computer!,positive,ABSA16_Laptops_Train_SB1_v2.csv
858,LAPTOP#GENERAL,But the machine is awesome and iLife is great and I love Snow Leopard X.,positive,ABSA16_Laptops_Train_SB1_v2.csv
859,LAPTOP#GENERAL,i love to use it it is esay and light.,positive,ABSA16_Laptops_Train_SB1_v2.csv
865,LAPTOP#GENERAL,i can use it for all of my needs.,positive,ABSA16_Laptops_Train_SB1_v2.csv
866,LAPTOP#GENERAL,i give this laptop a five star review i love it and it has done chams for me.,positive,ABSA16_Laptops_Train_SB1_v2.csv
867,LAPTOP#GENERAL,if this computer every breaks down on me i will most definatly get the same one again.,positive,ABSA16_Laptops_Train_SB1_v2.csv
869,LAPTOP#GENERAL,From the second you open the box you will fall in love with this computer!,positive,ABSA16_Laptops_Train_SB1_v2.csv
875,LAPTOP#GENERAL,"From the start, when you open the box you see a completely different class of machine.",positive,ABSA16_Laptops_Train_SB1_v2.csv
890,LAPTOP#GENERAL,"Let me tell you, this machine is great.",positive,ABSA16_Laptops_Train_SB1_v2.csv
895,LAPTOP#GENERAL,great machine if you want to drop the cash for one.,positive,ABSA16_Laptops_Train_SB1_v2.csv
896,LAPTOP#GENERAL,"Ok, this is probably the best laptop series ever devised by Apple.",positive,ABSA16_Laptops_Train_SB1_v2.csv
901,LAPTOP#GENERAL,I have recommended this laptop to everyone I know who is buying one.,positive,ABSA16_Laptops_Train_SB1_v2.csv
902,LAPTOP#GENERAL,"I like it so much, I bought another just for my wife.",positive,ABSA16_Laptops_Train_SB1_v2.csv
916,LAPTOP#GENERAL,I am very happy with this laptop.,positive,ABSA16_Laptops_Train_SB1_v2.csv
943,LAPTOP#GENERAL,I bought this eMachines Notebook PC in January of this year and I am highly dissatisfied with it.,negative,ABSA16_Laptops_Train_SB1_v2.csv
953,LAPTOP#GENERAL,Don't waste your money!,negative,ABSA16_Laptops_Train_SB1_v2.csv
956,LAPTOP#GENERAL,The laptop is gorgeous.,positive,ABSA16_Laptops_Train_SB1_v2.csv
963,LAPTOP#GENERAL,I love it and will probably get another one when this goes to the Laptop in the sky!!,positive,ABSA16_Laptops_Train_SB1_v2.csv
964,LAPTOP#GENERAL,Overall this laptop is great.,positive,ABSA16_Laptops_Train_SB1_v2.csv
976,LAPTOP#GENERAL,Save your money and go for a better device.,negative,ABSA16_Laptops_Train_SB1_v2.csv
980,LAPTOP#GENERAL,I Love my new computer!,positive,ABSA16_Laptops_Train_SB1_v2.csv
983,LAPTOP#GENERAL,Thank you for your great product!,positive,ABSA16_Laptops_Train_SB1_v2.csv
988,LAPTOP#GENERAL,"Kind of annoying, but I still love the laptop.",positive,ABSA16_Laptops_Train_SB1_v2.csv
993,LAPTOP#GENERAL,I bought my macbook a few months ago and it has been my baby ever since.,positive,ABSA16_Laptops_Train_SB1_v2.csv
994,LAPTOP#GENERAL,I love it so much.,positive,ABSA16_Laptops_Train_SB1_v2.csv
999,LAPTOP#GENERAL,GREAT INVESTMENT!,positive,ABSA16_Laptops_Train_SB1_v2.csv
1005,LAPTOP#GENERAL,I love my macbook pro!,positive,ABSA16_Laptops_Train_SB1_v2.csv
1008,LAPTOP#GENERAL,My laptop is almost 2yrs old and I have never had any problems with it.,positive,ABSA16_Laptops_Train_SB1_v2.csv
1016,LAPTOP#GENERAL,If you have any creativity in you do yourself a favor and get a mac!,positive,ABSA16_Laptops_Train_SB1_v2.csv
1026,LAPTOP#GENERAL,I dont understand how anyone can think this is a great product worth purchasing.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1029,LAPTOP#GENERAL,It doesnt work worth a damn.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1032,LAPTOP#GENERAL,"There are so many things wrong with this product, it just makes me want to set my self on fire!",negative,ABSA16_Laptops_Train_SB1_v2.csv
1040,LAPTOP#GENERAL,I am taking back today.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1041,LAPTOP#GENERAL,Don't waste your money or time.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1042,LAPTOP#GENERAL,"Very dissappointed becase I have had toshibas for years, and never a issue.",negative,ABSA16_Laptops_Train_SB1_v2.csv
1051,LAPTOP#GENERAL,I've had my MacBook Pro for three years now and still love it!,positive,ABSA16_Laptops_Train_SB1_v2.csv
1058,LAPTOP#GENERAL,I highly recommend this product!,positive,ABSA16_Laptops_Train_SB1_v2.csv
