,aspect,document,sentiment,dataset
1872,LAPTOP#QUALITY,I should have waited to find a higher quality computer.,negative,ABSA16_Laptops_Train_SB1_v2.csv
127,LAPTOP#QUALITY,It rarely works and when it does it's incredibly slow.,negative,ABSA16_Laptops_Train_SB1_v2.csv
378,LAPTOP#QUALITY,I constantly had to send my laptop in for services every 3 months and it always seems to be the same problem that they said they had already fixed.,negative,ABSA16_Laptops_Train_SB1_v2.csv
633,LAPTOP#QUALITY,"One year of trying to fix the computer by myself, with help of friends, and even help from computer experts I have given up on trying to fix it.",negative,ABSA16_Laptops_Train_SB1_v2.csv
126,LAPTOP#QUALITY,"this one, in my opinion, might be a lemon!",negative,ABSA16_Laptops_Train_SB1_v2.csv
625,LAPTOP#QUALITY,"If you are looking for something reliable, this is the laptop for you.",positive,ABSA16_Laptops_Train_SB1_v2.csv
247,LAPTOP#QUALITY,It's very sturdy.,,EN_LAPT_SB1_TEST_.B.csv
1751,LAPTOP#QUALITY,But if you buy this i would highly recommend that you buy a case and screen protector for this machine as they are known to be quite fragile.,negative,ABSA16_Laptops_Train_SB1_v2.csv
446,AMBIENCE#GENERAL,The dining room is quietly elegant with no music to shout over -- how refreshing!,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1797,AMBIENCE#GENERAL,"If you’re planning to come here, make sure that your date is someone whom you really like since you’ll be ushered to private booths where there will be no people or food watching (choose the ones on the ground level that have glass ceilings so you may see the stars in the sky!).",positive,ABSA16_Restaurants_Train_SB1_v2.csv
282,AMBIENCE#GENERAL,The place's decor and hidden bathrooms made for a good laugh.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1908,AMBIENCE#GENERAL,The decor however seems to be the distraction so you won't notice that you just payed 300 bucks for some cold eggplant that took 2 FRICKIN HOURS TO COME!!!!,neutral,ABSA16_Restaurants_Train_SB1_v2.csv
1681,AMBIENCE#GENERAL,The place is beautiful!,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1630,AMBIENCE#GENERAL,"The DJ is awesome, I have been there for my birthday and a bunch of other times with friends and I keep going back.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
1586,AMBIENCE#GENERAL,Not a very fancy place but very good Chinese style Indian food.,neutral,ABSA16_Restaurants_Train_SB1_v2.csv
1180,AMBIENCE#GENERAL,"Went here last night - nice decor, good service, but the food was surprisingly excellent.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
415,AMBIENCE#GENERAL,It is one the nicest outdoor restaurants I have ever seen in NY--I am from Italy and this place rivals the ones in my country.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1030,AMBIENCE#GENERAL,"also it's great to have dinner in a very romantic and confortable place, the service it's just perfect...they're so frendly that we never want to live the place!",positive,ABSA16_Restaurants_Train_SB1_v2.csv
1283,SUPPORT#QUALITY,3 weeks went by and the computer keeps crashing and will not open any applications.,negative,ABSA16_Laptops_Train_SB1_v2.csv
728,SUPPORT#QUALITY,So I'm going back to Genius Bar for visit #6.,,EN_LAPT_SB1_TEST_.B.csv
29,SUPPORT#QUALITY,"But, at the same time they (the company) would not and could not do anything about my problem.",negative,ABSA16_Laptops_Train_SB1_v2.csv
270,SUPPORT#QUALITY,It took 3 days to make an appointment at the local Apple store.,,EN_LAPT_SB1_TEST_.B.csv
1052,SUPPORT#QUALITY,"In those three years, I've had a couple of minor problems and both were resolved by Apple quickly and easily.",positive,ABSA16_Laptops_Train_SB1_v2.csv
110,SUPPORT#QUALITY,Acer won't replace the laptop.,negative,ABSA16_Laptops_Train_SB1_v2.csv
698,SUPPORT#QUALITY,I have had to send in my laptop three times to get it fixed.,negative,ABSA16_Laptops_Train_SB1_v2.csv
670,SUPPORT#QUALITY,I've been to the &amp;#34;genius&amp;#34; bar several times (they have been very nice).,,EN_LAPT_SB1_TEST_.B.csv
85,SUPPORT#QUALITY,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1342,SUPPORT#QUALITY,HP didn't fix it.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1009,LAPTOP#MISCELLANEOUS,If you are a PC user looking to convert I would HIGHLY recommend it!,positive,ABSA16_Laptops_Train_SB1_v2.csv
1991,LAPTOP#MISCELLANEOUS,My daughter uses it for college too and it works great for both of us.,positive,ABSA16_Laptops_Train_SB1_v2.csv
462,LAPTOP#MISCELLANEOUS,"I will NEVER buy (Refurbished) again, I don't cae how cheap it is.",negative,ABSA16_Laptops_Train_SB1_v2.csv
1891,LAPTOP#MISCELLANEOUS,i can run somewhat modern games like Skyrim and Fallout New Vegas with no issues.,positive,ABSA16_Laptops_Train_SB1_v2.csv
2417,LAPTOP#MISCELLANEOUS,"But, if you are just an average user, it works really great.",positive,ABSA16_Laptops_Train_SB1_v2.csv
356,LAPTOP#MISCELLANEOUS,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",positive,ABSA16_Laptops_Train_SB1_v2.csv
2386,LAPTOP#MISCELLANEOUS,"I have no idea what's taking up all the room, it doesn't make sense.",negative,ABSA16_Laptops_Train_SB1_v2.csv
1157,LAPTOP#MISCELLANEOUS,"Great laptop for school, easy to use for beginners in the household.",positive,ABSA16_Laptops_Train_SB1_v2.csv
185,LAPTOP#MISCELLANEOUS,- It can run games really well.,,EN_LAPT_SB1_TEST_.B.csv
1077,LAPTOP#MISCELLANEOUS,No tutorials on the display.,negative,ABSA16_Laptops_Train_SB1_v2.csv
879,LAPTOP#USABILITY,"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",positive,ABSA16_Laptops_Train_SB1_v2.csv
375,LAPTOP#USABILITY,both upgrades were quickly accomplished after purchasing the necessary Product Key.,positive,ABSA16_Laptops_Train_SB1_v2.csv
268,LAPTOP#USABILITY,"Simple to use, and great graphics.",positive,ABSA16_Laptops_Train_SB1_v2.csv
1456,LAPTOP#USABILITY,Using this machine is like a mild form of torture.,negative,ABSA16_Laptops_Train_SB1_v2.csv
78,LAPTOP#USABILITY,"It is easy to use, good quality and good price.",positive,ABSA16_Laptops_Train_SB1_v2.csv
554,LAPTOP#USABILITY,"Its simplicity is one of the things that makes it so great, aside from its quality design and sexy looks.",,EN_LAPT_SB1_TEST_.B.csv
6,LAPTOP#USABILITY,I've only had mine a day but I'm already used to it...,positive,ABSA16_Laptops_Train_SB1_v2.csv
571,LAPTOP#USABILITY,The ease of set up was terrific.,positive,ABSA16_Laptops_Train_SB1_v2.csv
1629,LAPTOP#USABILITY,I can't even install one of the 3 printers I have in my house so I am unable to print.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1939,LAPTOP#USABILITY,"The New Macbook pro working, good user experience, fast speed, faster start up time.",positive,ABSA16_Laptops_Train_SB1_v2.csv
62,RESTAURANT#MISCELLANEOUS,Surprisingly nothing could be further from the truth.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
678,RESTAURANT#MISCELLANEOUS,"Of course, it is crowded but who cares.",neutral,ABSA16_Restaurants_Train_SB1_v2.csv
533,RESTAURANT#MISCELLANEOUS,The owner and staff are all Japanese as well and that adds to the entire ambiance.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1986,RESTAURANT#MISCELLANEOUS,We didn't look like the other patrons in there so unfortunately I think that may have been part of the problem.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
1019,RESTAURANT#MISCELLANEOUS,"If celebrities make you sweat, then your in for a ride, but if your like most around these parts then you'll just yawn and wonder whats with all the hype.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
1480,RESTAURANT#MISCELLANEOUS,Got a date? Go here!,positive,ABSA16_Restaurants_Train_SB1_v2.csv
63,RESTAURANT#MISCELLANEOUS,"In the evening, this place attracted a well dressed, with it, NY crowd.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
1083,RESTAURANT#MISCELLANEOUS,My friend from Milan and myself were pleasantly surprised when we arrived and everyone spoke italian.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1392,RESTAURANT#MISCELLANEOUS,The only downside... they only take cash which is OK if you know about it ahead of time.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
1784,RESTAURANT#MISCELLANEOUS,We've tried before but it always packed and doesn't take reservations.,neutral,ABSA16_Restaurants_Train_SB1_v2.csv
940,COMPANY#GENERAL,I just hope the reputation that Toshiba has is true and I won't have to worry about a crash.,neutral,ABSA16_Laptops_Train_SB1_v2.csv
1192,COMPANY#GENERAL,That was my first Apple product and since then I have been incredibly happy with every product of theirs I have bought.,positive,ABSA16_Laptops_Train_SB1_v2.csv
469,COMPANY#GENERAL,I thought we were paying for quality in our decision to buy an Apple product.,negative,ABSA16_Laptops_Train_SB1_v2.csv
697,COMPANY#GENERAL,But Apple does not pretend it has any of these.,,EN_LAPT_SB1_TEST_.B.csv
1259,COMPANY#GENERAL,"this company truely does make horrible products and doesnt seem to because they are certain things like this ""never"" happen...",negative,ABSA16_Laptops_Train_SB1_v2.csv
551,COMPANY#GENERAL,They really know what they are doing.,,EN_LAPT_SB1_TEST_.B.csv
2201,COMPANY#GENERAL,I will be considering Lenovo for all future laptop purchases.,positive,ABSA16_Laptops_Train_SB1_v2.csv
1146,COMPANY#GENERAL,My next laptop will also be a Mac!,positive,ABSA16_Laptops_Train_SB1_v2.csv
1618,COMPANY#GENERAL,You will regret it if you buy any dell.,negative,ABSA16_Laptops_Train_SB1_v2.csv
31,COMPANY#GENERAL,"And, if you are going to deal with HP be careful.",negative,ABSA16_Laptops_Train_SB1_v2.csv
622,BATTERY#OPERATION_PERFORMANCE,I get about 5 or so hours playing the sims.,,EN_LAPT_SB1_TEST_.B.csv
2157,BATTERY#OPERATION_PERFORMANCE,The battery seems adequate for most uses ~ 4.5 hour use/charge.,positive,ABSA16_Laptops_Train_SB1_v2.csv
776,BATTERY#OPERATION_PERFORMANCE,The statement of 7 hour battery life is not just mere exaggeration -- it's a lie.,negative,ABSA16_Laptops_Train_SB1_v2.csv
777,BATTERY#OPERATION_PERFORMANCE,I challenge anyone to show proof that through anywhere near normal use can get more than 2.5 hrs out of it.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1540,BATTERY#OPERATION_PERFORMANCE,"They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die.",negative,ABSA16_Laptops_Train_SB1_v2.csv
1936,BATTERY#OPERATION_PERFORMANCE,"The battery life is good, even with using high profile software like Sibelius 7 for a good half of the day.",positive,ABSA16_Laptops_Train_SB1_v2.csv
106,BATTERY#OPERATION_PERFORMANCE,Even the battery life is like WOW!,,EN_LAPT_SB1_TEST_.B.csv
578,BATTERY#OPERATION_PERFORMANCE,"The battery life has increased from the last version from 4 hours to 7 hours, making it easy for college students to study for extended periods of time without needing a charger.",,EN_LAPT_SB1_TEST_.B.csv
1710,BATTERY#OPERATION_PERFORMANCE,"The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",negative,ABSA16_Laptops_Train_SB1_v2.csv
969,BATTERY#OPERATION_PERFORMANCE,"Laptops are usually used on the go, so why not give you a better battery?",negative,ABSA16_Laptops_Train_SB1_v2.csv
1404,FOOD#STYLE_OPTIONS,I was looking for banana tempura for dessert and they dont have.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
1536,FOOD#STYLE_OPTIONS,"peppers, onions, relish, chilli, cheeses, you NAME it.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
1659,FOOD#STYLE_OPTIONS,Some Pineapple covered in a glaze of some kind and some pear tart thing Not impressive at all.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
753,FOOD#STYLE_OPTIONS,My son and his girlfriend both wanted cheeseburgers and they were huge!,neutral,ABSA16_Restaurants_Train_SB1_v2.csv
58,FOOD#STYLE_OPTIONS,The rice to fish ration was also good--they didn't try to overpack the rice.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
372,FOOD#STYLE_OPTIONS,"You are not eating haut cuisine with subtle hints of whatever but: Cassuolet, Steake Fritte, Tripe Stew, etc; simple stuff.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
546,FOOD#STYLE_OPTIONS,"The quantity is also very good, you will come out satisfied.",positive,ABSA16_Restaurants_Train_SB1_v2.csv
1837,FOOD#STYLE_OPTIONS,The concept of japanese tapas is newly created and clearly doesn't work.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
107,FOOD#STYLE_OPTIONS,My wife had the fried shrimp which are huge and loved it.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
875,FOOD#STYLE_OPTIONS,"The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
731,LAPTOP#PRICE,"You get what you pay for, right?",,EN_LAPT_SB1_TEST_.B.csv
2370,LAPTOP#PRICE,Expensive but worth it.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1855,LAPTOP#PRICE,Great price and computer!,positive,ABSA16_Laptops_Train_SB1_v2.csv
253,LAPTOP#PRICE,"The price was very good, and the product is top quality.",positive,ABSA16_Laptops_Train_SB1_v2.csv
2451,LAPTOP#PRICE,"The price is great and it does everything I want to do,  Thanks.",positive,ABSA16_Laptops_Train_SB1_v2.csv
1903,LAPTOP#PRICE,for the price this is a super product out of the box.,neutral,ABSA16_Laptops_Train_SB1_v2.csv
760,LAPTOP#PRICE,"Other than that, I would recommend this to someone in need of a cheap laptop with semi-decent gaming capabilities.",positive,ABSA16_Laptops_Train_SB1_v2.csv
13,LAPTOP#PRICE,Everything at a very great price.,,EN_LAPT_SB1_TEST_.B.csv
69,LAPTOP#PRICE,It's more expensive but well worth it in the long run.,negative,ABSA16_Laptops_Train_SB1_v2.csv
330,LAPTOP#PRICE,It's priced very reasonable and works very well right out of the box.,positive,ABSA16_Laptops_Train_SB1_v2.csv
62,DISPLAY#QUALITY,Great color on screen.,,EN_LAPT_SB1_TEST_.B.csv
253,DISPLAY#QUALITY,The screen definition is superb and it fires up super quick and same to close down.,,EN_LAPT_SB1_TEST_.B.csv
774,DISPLAY#QUALITY,The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.,neutral,ABSA16_Laptops_Train_SB1_v2.csv
30,DISPLAY#QUALITY,"I love the new high retina display, and because this computer lacks a disc player it makes it significantly lighter.",,EN_LAPT_SB1_TEST_.B.csv
1795,DISPLAY#QUALITY,The glare of the glossy-retina display is unbearable.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1504,DISPLAY#QUALITY,"The only drawback for me is how dirty the screen gets, and rather quickly too.",negative,ABSA16_Laptops_Train_SB1_v2.csv
153,DISPLAY#QUALITY,The resolution is excellent.,,EN_LAPT_SB1_TEST_.B.csv
877,DISPLAY#QUALITY,"The screen is bright and clear, the operating system is solid and friendly to a novice.",positive,ABSA16_Laptops_Train_SB1_v2.csv
611,DISPLAY#QUALITY,"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.",positive,ABSA16_Laptops_Train_SB1_v2.csv
438,DISPLAY#QUALITY,The screen is bright and the keyboard is nice;,positive,ABSA16_Laptops_Train_SB1_v2.csv
138,LAPTOP#CONNECTIVITY,I can barely use any usb devices because they will not stay connected properly.,negative,ABSA16_Laptops_Train_SB1_v2.csv
437,LAPTOP#CONNECTIVITY,The wireless adapter is strong and the SSD is fast.,,EN_LAPT_SB1_TEST_.B.csv
630,LAPTOP#CONNECTIVITY,The wifi works great.,,EN_LAPT_SB1_TEST_.B.csv
1403,LAPTOP#CONNECTIVITY,Needless to say a PC that can't support a cell phone is less than useless!,negative,ABSA16_Laptops_Train_SB1_v2.csv
1400,LAPTOP#CONNECTIVITY,The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1354,LAPTOP#CONNECTIVITY,Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.,negative,ABSA16_Laptops_Train_SB1_v2.csv
607,LAPTOP#CONNECTIVITY,The internet capabilities are also very strong and picks up signals very easily.,positive,ABSA16_Laptops_Train_SB1_v2.csv
2167,LAPTOP#CONNECTIVITY,Wifi card not working right out of the box.,negative,ABSA16_Laptops_Train_SB1_v2.csv
2078,LAPTOP#CONNECTIVITY,"Internet is fast and reliable, battery life lasts a long time.",positive,ABSA16_Laptops_Train_SB1_v2.csv
2421,LAPTOP#CONNECTIVITY,It has no way of connecting to the internet save wifi but that's all I use anyway!,neutral,ABSA16_Laptops_Train_SB1_v2.csv
1958,OS#GENERAL,"One of the very few laptops still available with Win 7 Pro, multiple USB ports, and a DVD read/write drive.",positive,ABSA16_Laptops_Train_SB1_v2.csv
718,OS#GENERAL,"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",negative,ABSA16_Laptops_Train_SB1_v2.csv
111,OS#GENERAL,"Upgrading from a toshiba laptop, I am fully impressed with all of the benefits that the mac operating system provides.",,EN_LAPT_SB1_TEST_.B.csv
547,OS#GENERAL,"I was pretty skeptical about upgrading to windows 10, but it is pretty awesome.",,EN_LAPT_SB1_TEST_.B.csv
2048,OS#GENERAL,"W7 Pro with W8 pro upgrade is nice, but it frequently freezes for a few seconds here and there.",positive,ABSA16_Laptops_Train_SB1_v2.csv
2103,OS#GENERAL,The only major negative to me is Windows 8.1 (though YMMV) and the Dell crapware installed.,negative,ABSA16_Laptops_Train_SB1_v2.csv
1825,OS#GENERAL,Hate Windows 8.1!,negative,ABSA16_Laptops_Train_SB1_v2.csv
1628,OS#GENERAL,"I have Vista, so I am unable to install and uninstall  some programs.",negative,ABSA16_Laptops_Train_SB1_v2.csv
1783,OS#GENERAL,The big deal with this was Windows 7.,positive,ABSA16_Laptops_Train_SB1_v2.csv
727,OS#GENERAL,"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",positive,ABSA16_Laptops_Train_SB1_v2.csv
570,RESTAURANT#PRICES,The prices are wonderfully low.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1523,RESTAURANT#PRICES,So what you really end up paying for is the restaurant not the food.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
1969,RESTAURANT#PRICES,Expensive,negative,ABSA16_Restaurants_Train_SB1_v2.csv
888,RESTAURANT#PRICES,Nice value.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
540,RESTAURANT#PRICES,The prices were CHEAP compared to the quality of service and food.,positive,ABSA16_Restaurants_Train_SB1_v2.csv
1660,RESTAURANT#PRICES,"I read reviews that called the restaurant too expensive and I thought to myself, but may be it is worth it.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
149,RESTAURANT#PRICES,Slightly on the pricey side but worth it!,negative,ABSA16_Restaurants_Train_SB1_v2.csv
551,RESTAURANT#PRICES,Moderate prices.,neutral,ABSA16_Restaurants_Train_SB1_v2.csv
583,RESTAURANT#PRICES,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
364,RESTAURANT#PRICES,"Yes, the prices are high, but I felt it was worth it.",negative,ABSA16_Restaurants_Train_SB1_v2.csv
513,FOOD#PRICES,A little overpriced but worth it once you take a bite.,negative,ABSA16_Restaurants_Train_SB1_v2.csv
1399,FOOD#PRICES,overpriced japanese food with mediocre service,negative,ABSA16_Restaurants_Train_SB1_v2.csv
